WP_004596213.1,A8GPE2.1,139.0,98.592
WP_004996647.1,C4K1P8.1,268.0,99.225
WP_004996682.1,A8GQT4.1,156.0,98.718
WP_004997072.1,Q9ZC89.1,114.0,98.214
WP_004997429.1,Q9ZCH9.1,160.0,98.765
WP_004997480.1,A8EZV1.1,217.0,99.048
WP_004997924.1,Q68WD1.1,141.0,97.059
WP_004998227.1,Q9ZD87.1,79.3,97.561
WP_008579275.1,Q1RKA6.1,140.0,98.485
WP_008579420.1,Q92J57.2,211.0,98.99
WP_008580257.1,Q6FYW2.2,119.0,30.888
WP_008580317.1,Q9ZBM2.1,124.0,33.333
WP_008580323.1,A8GRA7.1,347.0,99.379
WP_008580920.1,A8GT46.1,266.0,99.213
WP_008580952.1,A8EZK6.1,252.0,99.18
WP_008580964.1,Q92GX0.1,196.0,98.913
WP_010420471.1,Q92JG8.2,408.0,99.468
WP_010420625.1,Q92JK2.1,196.0,97.895
WP_010420727.1,A8GLV9.1,142.0,98.649
WP_010976947.1,Q9ZDV4.1,174.0,90.0
WP_011270358.1,B0BVQ7.1,572.0,97.436
WP_011270360.1,Q50863.1,158.0,41.0
WP_011270361.1,Q50862.1,70.7,23.113
WP_011270362.1,Q9ZED6.1,1278.0,82.889
WP_011270363.1,C3PM36.1,533.0,95.833
WP_011270364.1,A8GLS1.1,298.0,95.172
WP_011270365.1,C3PM38.1,698.0,95.665
WP_011270369.1,Q92JQ6.2,644.0,90.432
WP_011270370.1,Q9ZED1.1,163.0,83.505
WP_011270374.1,Q92JQ4.1,326.0,90.286
WP_011270375.1,Q9ZEC9.1,443.0,66.667
WP_011270376.1,Q8K1J6.1,190.0,33.586
WP_011270379.1,Q92JP8.1,803.0,59.812
WP_011270384.1,Q92JP3.1,301.0,88.415
WP_011270385.1,Q4FPE7.1,72.8,29.114
WP_011270386.1,A8F0C9.2,497.0,99.174
WP_011270388.1,Q92JN8.1,500.0,89.313
WP_011270389.1,A0R561.1,95.7,36.306
WP_011270390.1,O05979.2,488.0,44.423
WP_011270396.1,Q92JM8.1,428.0,91.441
WP_011270399.1,Q92JM5.1,393.0,94.975
WP_011270400.1,Q92JM4.1,396.0,98.413
WP_011270406.1,Q45619.1,223.0,45.041
WP_011270409.1,Q92JG9.1,881.0,93.622
WP_011270410.1,A8GM17.1,321.0,98.026
WP_011270411.1,B8H358.1,289.0,58.85
WP_011270412.1,A8F0H9.1,559.0,95.971
WP_011270414.1,Q2RSB4.1,548.0,58.19
WP_011270415.1,Q92JG2.1,492.0,95.082
WP_011270416.1,Q92JG1.1,572.0,96.259
WP_011270417.1,Q6GBR4.1,233.0,34.45
WP_011270418.1,Q4UKZ9.1,66.8,42.424
WP_011270420.1,P80011.1,237.0,48.696
WP_011270421.1,P54163.1,64.6,28.994
WP_011270422.1,Q92JF7.1,863.0,77.799
WP_011270423.1,A8GM31.1,954.0,94.118
WP_011270424.1,A8F0I9.2,622.0,98.305
WP_011270425.1,Q92JF4.1,625.0,98.058
WP_011270426.1,Q92JF2.1,112.0,91.667
WP_011270427.1,Q92JE9.1,881.0,90.086
WP_011270428.1,Q9ZE57.1,415.0,89.45
WP_011270429.1,Q92JE7.1,818.0,95.489
WP_011270430.1,Q9ZE55.1,597.0,84.731
WP_011270431.1,Q92JE4.2,517.0,96.016
WP_011270432.1,P0ADV7.1,52.1,23.967
WP_011270433.1,Q8Y2E1.1,239.0,42.182
WP_011270434.1,Q68XW3.1,588.0,82.883
WP_011270435.1,Q92JD8.1,518.0,97.297
WP_011270436.1,P30769.2,194.0,38.367
WP_011270437.1,Q92JD6.1,156.0,96.341
WP_011270438.1,Q92JD1.1,204.0,98.969
WP_011270439.1,Q92JD0.1,160.0,96.154
WP_011270440.1,C3PMD9.1,430.0,95.283
WP_011270441.1,A0LEB5.1,99.6,26.471
WP_011270442.1,Q9R2W4.1,551.0,37.896
WP_011270443.1,Q9ZE44.1,2020.0,84.109
WP_011270444.1,Q92JC4.1,1337.0,93.75
WP_011270445.1,Q92JC3.1,1705.0,84.184
WP_011270446.1,Q92JC2.1,1724.0,92.672
WP_011270447.1,Q92JC1.1,2306.0,93.68
WP_011270448.1,Q46558.1,54.7,42.373
WP_011270449.1,P71363.1,115.0,43.284
WP_011270450.1,Q9ZE39.1,685.0,93.605
WP_011270453.1,C3PME7.1,481.0,95.299
WP_011270454.1,A8GQT3.1,280.0,97.101
WP_011270458.1,Q92JF8.1,196.0,98.0
WP_011270461.1,Q92JH0.1,1528.0,96.201
WP_011270462.1,Q92JH1.1,450.0,95.536
WP_011270463.1,C4K184.1,1181.0,95.486
WP_011270464.1,A8GM08.1,789.0,95.561
WP_011270467.1,C3PMA0.1,577.0,97.445
WP_011270468.1,Q92JH8.1,175.0,93.333
WP_011270469.1,P45127.1,675.0,56.475
WP_011270470.1,Q92JI0.1,556.0,95.971
WP_011270471.1,B8GW31.1,305.0,50.988
WP_011270472.1,A8GM00.1,386.0,97.382
WP_011270473.1,A8F0G3.1,1278.0,96.463
WP_011270474.1,Q92JI4.1,295.0,97.857
WP_011270475.1,Q9Z7N9.1,310.0,38.028
WP_011270476.1,Q92JI6.1,1028.0,97.59
WP_011270478.1,Q92JI7.2,407.0,91.584
WP_011270483.1,Q92JJ1.1,357.0,89.617
WP_011270484.1,Q92JJ2.1,366.0,98.343
WP_011270485.1,C4K168.1,1164.0,98.214
WP_011270486.1,P0AAT4.1,192.0,32.692
WP_011270487.1,A8GQK5.1,519.0,95.753
WP_011270488.1,Q54S83.1,190.0,33.815
WP_011270490.1,Q92JJ8.1,543.0,95.785
WP_011270493.1,Q92JJ9.1,1329.0,97.95
WP_011270494.1,A8GLX9.1,863.0,94.419
WP_011270495.1,A8F0E7.1,348.0,97.661
WP_011270496.1,Q92JK3.2,248.0,97.521
WP_011270498.1,Q12618.1,173.0,33.824
WP_011270499.1,Q9ZEA8.1,704.0,84.238
WP_011270500.1,Q92JK7.1,298.0,89.571
WP_011270506.1,P23238.1,281.0,55.372
WP_011270509.1,Q92JL9.1,910.0,93.864
WP_011270513.1,Q92GI5.1,1028.0,96.994
WP_011270514.1,I3R9Z4.1,89.7,25.714
WP_011270515.1,P54810.1,474.0,56.154
WP_011270523.1,P71019.2,241.0,41.534
WP_011270526.1,B7GM51.1,136.0,23.753
WP_011270527.1,Q92GL0.1,440.0,91.593
WP_011270528.1,Q92GL1.1,466.0,94.76
WP_011270529.1,Q92GL2.1,364.0,94.565
WP_011270530.1,Q9A716.1,131.0,29.259
WP_011270532.1,Q92GL5.2,326.0,98.684
WP_011270533.1,Q9ZCK4.1,185.0,86.0
WP_011270534.1,P45029.1,79.3,37.179
WP_011270535.1,Q9ZCK6.1,183.0,91.489
WP_011270536.1,Q9ZCK7.1,239.0,81.379
WP_011270538.1,P0C0L8.1,115.0,28.814
WP_011270543.1,A8F2K6.1,761.0,95.291
WP_011270546.1,P37634.1,162.0,34.191
WP_011270547.1,P0AFT0.1,98.7,35.897
WP_011270548.1,A8F2K3.1,659.0,94.154
WP_011270550.1,Q796Y8.1,164.0,52.597
WP_011270553.1,Q9AKK7.1,176.0,92.308
WP_011270554.1,Q4UND5.1,71.5,50.617
WP_011270556.1,Q9LVJ3.1,99.1,40.714
WP_011270557.1,Q9KKA3.2,2746.0,85.43
WP_011270559.1,P45037.1,308.0,30.97
WP_011270560.1,Q57017.2,241.0,32.692
WP_011270562.1,Q92GP5.1,452.0,97.285
WP_011270563.1,P57061.1,252.0,35.109
WP_011270564.1,B4TAV4.1,98.7,24.314
WP_011270565.1,Q9ZCM7.1,157.0,90.244
WP_011270569.1,A8GPK3.1,444.0,89.868
WP_011270570.1,O34569.2,105.0,34.395
WP_011270571.1,A8GPK1.1,880.0,97.647
WP_011270574.1,Q9ZCN2.1,1102.0,80.062
WP_011270577.1,Q92GR5.2,820.0,93.873
WP_011270578.1,P64924.1,72.4,21.127
WP_011270581.1,Q92GR9.1,1574.0,85.681
WP_011270582.1,P37014.3,147.0,31.879
WP_011270583.1,B6J612.1,179.0,35.926
WP_011270586.1,A8F2H5.1,425.0,96.059
WP_011270587.1,Q92GS6.1,1030.0,93.11
WP_011270588.1,P0AFQ9.1,226.0,40.636
WP_011270593.1,Q887Q9.1,217.0,33.138
WP_011270594.1,A8F2H0.1,518.0,88.235
WP_011270595.1,A8GPI0.1,504.0,95.161
WP_011270596.1,Q9K0N0.1,341.0,41.19
WP_011270599.1,P64924.1,315.0,43.767
WP_011270600.1,C4K2K1.1,934.0,96.868
WP_011270602.1,P0A1A9.1,178.0,35.206
WP_011270606.1,Q39D34.1,79.3,30.698
WP_011270607.1,Q92GU9.1,588.0,96.284
