NP_417564.2,P0AA79.2,918.0
NP_417564.2,P0AA76.1,150.0
NP_417564.2,P39398.2,137.0
NP_417564.2,Q0K843.1,132.0
NP_417564.2,P0AA81.1,127.0
NP_417564.2,P37489.1,120.0
NP_417564.2,P42237.2,117.0
NP_417564.2,O34456.1,111.0
NP_417564.2,Q46916.1,110.0
NP_417564.2,Q8GX78.1,94.9
NP_417564.2,Q66GI9.1,92.9
NP_417564.2,Q8BN82.2,89.1
NP_417564.2,Q9MZD1.1,86.6
NP_417564.2,Q8W0H5.1,85.7
NP_417564.2,Q9NRA2.2,85.7
NP_417564.2,P76470.2,84.5
NP_417564.2,P70786.1,82.0
NP_417564.2,Q9SDI4.1,81.6
NP_417564.2,Q652N5.1,80.7
NP_417564.2,Q53WP9.1,75.3
NP_417564.2,Q44470.1,74.0
NP_417564.2,O82390.1,74.0
NP_417564.2,Q14916.2,71.9
NP_417564.2,P42205.1,71.5
NP_417564.2,Q5W8I7.1,69.8
NP_417564.2,P12681.2,69.4
NP_417564.2,Q03567.2,68.6
NP_417564.2,Q28722.1,68.2
NP_417564.2,Q61983.2,67.7
NP_417564.2,Q7XJR2.2,67.3
NP_417564.2,Q88FY6.1,66.5
NP_417564.2,Q7A3U8.1,65.7
NP_417564.2,Q2YZ45.1,65.7
NP_417564.2,Q6GE44.1,65.2
NP_417564.2,Q6G6T3.1,64.8
NP_417564.2,O00476.2,64.8
NP_417564.2,Q1L8X9.2,64.0
NP_417564.2,A6QLI1.1,63.6
NP_417564.2,Q9P2U8.1,62.7
NP_417283.2,P11553.4,1027.0
NP_417283.2,Q8X6R3.3,1024.0
NP_417283.2,Q8ZMC5.1,887.0
NP_417283.2,Q8Z428.1,884.0
NP_417283.2,P44399.1,389.0
NP_417283.2,Q8A1A3.1,151.0
NP_417283.2,Q5WL39.1,141.0
NP_417283.2,P39211.2,134.0
NP_417283.2,P21939.1,129.0
NP_417283.2,Q9V207.2,124.0
NP_417283.2,Q9CFG8.1,123.0
NP_417283.2,Q9KCM0.1,123.0
NP_417283.2,C5A1M3.1,122.0
NP_417283.2,Q838L3.1,120.0
NP_417283.2,P27155.1,119.0
NP_417283.2,Q5HL88.1,119.0
NP_417283.2,O05262.1,118.0
NP_417283.2,Q8CR47.1,118.0
NP_417283.2,Q2T0Z3.1,117.0
NP_417283.2,O93623.2,117.0
NP_417283.2,Q7N2E1.1,117.0
NP_417283.2,Q66FF3.1,117.0
NP_417283.2,O34861.1,116.0
NP_417283.2,A1JJ57.2,115.0
NP_417283.2,A9QYS1.1,115.0
NP_417283.2,A4WER6.1,114.0
NP_417283.2,Q88S49.1,114.0
NP_417283.2,Q1WRE4.1,113.0
NP_417283.2,A6TEC0.1,112.0
NP_417283.2,P77432.1,112.0
NP_417283.2,B1LFA4.1,112.0
NP_417283.2,A7ZLW9.1,112.0
NP_417283.2,Q8ESX1.1,112.0
NP_417283.2,Q81U58.1,111.0
NP_418473.3,Q8X5V6.3,760.0
NP_418473.3,Q7UBC5.3,742.0
NP_418473.3,Q8FB30.1,702.0
NP_418473.3,Q8Z1T1.1,672.0
NP_418473.3,Q8ZKH4.1,672.0
NP_418473.3,Q8ZJ14.1,562.0
NP_418473.3,Q87L85.1,540.0
NP_418473.3,Q9KUX9.1,540.0
NP_418473.3,Q8CWK7.2,539.0
NP_418473.3,Q9CL29.1,512.0
NP_418473.3,Q8EAJ0.1,498.0
NP_418473.3,P44794.1,492.0
NP_418473.3,Q7VNV2.1,472.0
NP_418473.3,Q9I048.1,415.0
NP_418473.3,Q88KX0.1,409.0
NP_418473.3,Q884G7.1,397.0
NP_418473.3,P72872.1,384.0
NP_418473.3,Q8P3X4.1,341.0
NP_418473.3,Q8PFF8.1,320.0
NP_418473.3,Q5SMC7.1,300.0
NP_418473.3,Q87AY2.1,297.0
NP_418473.3,Q9PGB5.1,298.0
NP_418473.3,Q92JQ6.2,108.0
NP_418473.3,Q9ZED2.2,102.0
NP_418473.3,Q1RH84.1,102.0
NP_418473.3,Q4UNJ4.1,100.0
NP_418473.3,P45672.1,98.7
NP_418473.3,Q68XZ3.1,97.5
NP_418473.3,Q9HUW1.1,92.0
NP_418473.3,Q7VNP2.1,89.5
NP_418473.3,Q08111.1,88.3
NP_418473.3,Q8PP72.1,87.8
NP_418473.3,P44965.1,86.6
NP_418473.3,Q8PCH1.1,86.2
NP_418473.3,P67717.1,86.2
NP_418473.3,Q55724.1,85.3
NP_418473.3,O67533.1,83.6
NP_418473.3,Q8NYV4.1,83.6
NP_418473.3,Q87KU1.2,82.4
NP_418473.3,Q6GKK9.1,82.0
YP_001165328.2,A5A624.2,50.2
YP_001165328.2,Q1R5B5.2,49.3
YP_588449.2,P0CB62.2,115.0
NP_415778.3,P00909.4,976.0
NP_415778.3,Q8X7B7.3,954.0
NP_415778.3,P00910.1,864.0
NP_415778.3,Q8Z7D9.1,861.0
NP_415778.3,Q8ZEG8.1,698.0
NP_415778.3,Q9KST5.1,579.0
NP_415778.3,P22098.2,558.0
NP_415778.3,P57366.1,537.0
NP_415778.3,O68427.1,534.0
NP_415778.3,P42393.1,534.0
NP_415778.3,P46451.1,526.0
NP_415778.3,Q44603.1,518.0
NP_415778.3,P59459.1,498.0
NP_415778.3,P57855.1,489.0
NP_415778.3,O25867.1,393.0
NP_415778.3,Q9ZJU8.1,382.0
NP_415778.3,P06560.2,334.0
NP_415778.3,A5FPM3.1,191.0
NP_415778.3,Q3ZZ14.1,190.0
NP_415778.3,Q3Z6G5.1,189.0
NP_415778.3,Q123F4.1,188.0
NP_415778.3,Q9K192.1,184.0
NP_415778.3,A3DDS7.1,184.0
NP_415778.3,P26938.1,184.0
NP_415778.3,A1VTG7.1,181.0
NP_415778.3,Q10ZM7.1,182.0
NP_415778.3,Q8XS01.1,181.0
NP_415778.3,A9HY11.1,179.0
NP_415778.3,A2BSL8.1,181.0
NP_415778.3,Q21SE8.1,179.0
NP_415778.3,A3PED0.1,179.0
NP_415778.3,Q319J2.1,179.0
YP_009029995.1,P0DKB3.1,90.8
NP_415117.2,P13039.2,863.0
NP_415117.2,O51900.2,335.0
NP_415117.2,Q56855.1,221.0
YP_009029994.1,P77129.1,902.0
YP_009029994.1,P77221.1,359.0
NP_417158.4,P0ADQ9.2,232.0
NP_417158.4,P64582.1,71.5
NP_414883.5,B1XBJ6.2,625.0
NP_414883.5,A7ZI96.2,622.0
NP_414883.5,Q8X5K0.3,620.0
NP_414883.5,B7MPB6.2,618.0
NP_414883.5,A6TAC7.1,563.0
NP_414883.5,Q49KF8.2,463.0
NP_414883.5,Q476M7.1,453.0
NP_414883.5,B2JQW2.1,441.0
NP_414883.5,Q13QH4.1,441.0
NP_414883.5,Q47HL4.1,440.0
NP_414883.5,A4JPX5.1,438.0
NP_414883.5,Q400K3.1,436.0
NP_414883.5,Q47GC1.2,432.0
NP_414883.5,Q2VLB9.1,313.0
NP_414883.5,Q52532.1,311.0
NP_414883.5,P17548.2,306.0
NP_414883.5,Q52036.1,305.0
NP_414883.5,Q8KZP5.1,305.0
NP_414883.5,A1VUV0.1,303.0
NP_414883.5,P47229.1,302.0
NP_414883.5,Q52011.1,300.0
NP_414883.5,Q59324.1,289.0
NP_414883.5,Q8KRD3.2,285.0
NP_414883.5,P9WNH4.1,207.0
NP_414883.5,Q9KWQ6.1,204.0
NP_414883.5,P19076.1,146.0
NP_414883.5,P23133.2,145.0
NP_414883.5,P23106.1,125.0
NP_414883.5,Q55921.1,89.5
NP_414883.5,Q9AQM4.1,87.0
NP_414883.5,Q59695.1,87.0
NP_414883.5,B7KWT4.1,81.6
NP_414883.5,P27747.3,81.6
NP_414883.5,P96084.1,81.1
NP_414883.5,C5CN82.1,80.3
NP_414883.5,B1ZB18.1,79.0
NP_414883.5,C7CM33.1,78.6
NP_414883.5,O05235.1,73.6
NP_418786.4,P39404.3,488.0
NP_418786.4,Q8CN75.1,58.1
NP_418786.4,Q5HLK6.1,58.1
NP_418786.4,Q6GE42.1,58.1
NP_418786.4,Q5HDG5.1,57.7
NP_418786.4,Q56127.1,56.9
NP_418786.4,P58663.1,56.9
NP_418786.4,P69408.1,56.9
NP_418786.4,Q4L8Q6.1,52.3
NP_418786.4,Q7WZY4.1,51.4
NP_418544.2,P02921.2,1003.0
NP_418544.2,P30878.3,864.0
NP_418544.2,Q02581.1,805.0
NP_418544.2,O07366.1,799.0
NP_418544.2,O33814.1,292.0
NP_418544.2,O34368.1,192.0
NP_418544.2,P31435.2,191.0
NP_418544.2,O34961.1,186.0
NP_418544.2,P75683.1,178.0
NP_418544.2,P96792.2,176.0
NP_418544.2,P94488.2,165.0
NP_418544.2,P22733.1,158.0
NP_418544.2,Q9L7R4.1,154.0
NP_418544.2,P32136.4,153.0
NP_418544.2,P32137.3,147.0
NP_418544.2,P43466.1,148.0
NP_418544.2,P0CE44.1,146.0
NP_418544.2,P23936.1,146.0
NP_418544.2,P0CE45.1,145.0
NP_418544.2,Q9L7R5.1,138.0
NP_418544.2,Q7WTB2.1,126.0
NP_418544.2,Q48624.1,124.0
NP_418544.2,P74168.1,98.3
NP_418544.2,P74168.1,49.3
NP_418544.2,Q5U3U7.1,60.2
NP_418544.2,Q6DEJ6.1,59.0
NP_418544.2,Q01334.1,58.1
NP_418544.2,Q9DA75.1,52.7
NP_418544.2,Q0IHM1.1,52.7
YP_004831120.1,G3MTW7.1,60.2
NP_417279.2,P0A9S2.2,815.0
NP_417279.2,P0DJA2.1,326.0
NP_417279.2,F8DVL8.1,325.0
NP_417279.2,Q59477.1,311.0
NP_417279.2,P45513.1,309.0
NP_417279.2,P37686.4,305.0
NP_417279.2,P31005.3,284.0
NP_417279.2,A6ZTT5.2,284.0
NP_417279.2,P10127.3,281.0
NP_417279.2,Q09669.1,276.0
NP_417279.2,P13604.1,254.0
NP_417279.2,P76553.2,246.0
NP_417279.2,P41795.2,237.0
NP_417279.2,P71017.2,210.0
NP_417279.2,P0A9Q8.2,211.0
NP_417279.2,A4IP64.1,207.0
NP_417279.2,Q24803.1,190.0
