WP_004596213.1,A8GPE2.1,135.0,98.592
WP_004996647.1,C4K1P8.1,259.0,99.225
WP_004996682.1,A8GQT4.1,129.0,98.718
WP_004997072.1,Q9ZC89.1,111.0,98.214
WP_004997429.1,Q9ZCH9.1,156.0,98.765
WP_004997480.1,A8EZV1.1,186.0,99.048
WP_004997924.1,Q68WD1.1,138.0,97.059
WP_004998227.1,Q9ZD87.1,77.5,97.561
WP_008579275.1,Q1RKA6.1,136.0,98.485
WP_008579420.1,Q92J57.2,205.0,98.99
WP_008580257.1,Q6FYW2.2,117.0,30.888
WP_008580317.1,Q9ZBM2.1,121.0,33.333
WP_008580323.1,A8GRA7.1,334.0,99.379
WP_008580920.1,A8GT46.1,241.0,99.213
WP_008580952.1,A8EZK6.1,244.0,99.18
WP_008580964.1,Q92GX0.1,189.0,98.913
WP_010420471.1,Q92JG8.2,393.0,99.468
WP_010420625.1,Q92JK2.1,189.0,97.895
WP_010420727.1,A8GLV9.1,139.0,98.649
WP_010976947.1,Q9ZDV4.1,170.0,90.0
WP_011270358.1,B0BVQ7.1,554.0,97.436
WP_011270360.1,Q50863.1,154.0,41.0
WP_011270361.1,Q50862.1,71.4,23.113
WP_011270362.1,Q9ZED6.1,1236.0,83.029
WP_011270363.1,C3PM36.1,517.0,95.833
WP_011270364.1,A8GLS1.1,288.0,95.172
WP_011270365.1,C3PM38.1,676.0,95.665
WP_011270369.1,Q92JQ6.2,621.0,90.432
WP_011270370.1,Q9ZED1.1,158.0,86.17
WP_011270374.1,Q92JQ4.1,317.0,90.286
WP_011270375.1,Q9ZEC9.1,424.0,66.667
WP_011270376.1,Q8K1J6.1,185.0,34.091
WP_011270379.1,Q92JP8.1,772.0,60.705
WP_011270384.1,Q92JP3.1,292.0,88.415
WP_011270385.1,Q4FPE7.1,72.5,29.114
WP_011270386.1,A8F0C9.2,480.0,99.174
WP_011270388.1,Q92JN8.1,482.0,89.313
WP_011270389.1,A0R561.1,94.7,36.306
WP_011270390.1,O05979.2,474.0,44.656
WP_011270396.1,Q92JM8.1,418.0,91.441
WP_011270399.1,Q92JM5.1,382.0,94.975
WP_011270400.1,Q92JM4.1,383.0,98.413
WP_011270406.1,Q45619.1,219.0,45.041
WP_011270409.1,Q92JG9.1,858.0,93.622
WP_011270410.1,A8GM17.1,312.0,98.026
WP_011270411.1,B8H358.1,282.0,58.85
WP_011270412.1,A8F0H9.1,540.0,95.971
WP_011270414.1,Q2RSB4.1,533.0,58.19
WP_011270415.1,Q92JG2.1,477.0,95.082
WP_011270416.1,Q92JG1.1,551.0,96.259
